Unnamed: 0,observed_on,license,image_url,place_guess,latitude,longitude,positional_accuracy,species_guess
15579,2025-08-14,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/552718891/medium.jpg,"South Riverdale, Toronto, ON, Canada",43.6726613841,-79.3309396604,15.0,Bay-breasted Warbler
15470,2025-07-08,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/551359069/medium.jpg,"Downtown Toronto, Toronto, ON, Canada",43.6404333056,-79.376225,12.0,Passer domesticus
23313,2025-05-30,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/602877409/medium.jpg,"Toronto, ON, Canada",43.5902394031,-79.5172906038,58.0,Western Grebe
6012,2025-04-24,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/490650651/medium.jpg,"Humber River Recreational Tr, Toronto, ON, CA",43.652780342,-79.4956699532,410.0,Great Egret
20252,2025-10-23,,https://static.inaturalist.org/photos/583790282/medium.jpg,"Corktown Common, Toronto, ON, CA",43.6535416667,-79.3528366667,4.0,Black-capped Chickadee
5395,2025-04-19,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/488586039/medium.jpeg,"Leaside-Bennington, Toronto, ON, Canada",43.7199468955,-79.3546300303,8.0,Dark-eyed Junco
23241,2025-05-18,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/602839566/medium.jpg,"Centre Island, Toronto, ON, Canada",43.617101381,-79.3873764039,172.0,Bald Eagle
18094,2025-08-31,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/571936744/medium.jpg,"Ontario, CA",43.7685912293,-79.0491758693,69.0,Turkey Vulture
15384,2025-08-10,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/550406809/medium.jpg,"Humber Bay Park Rd E, Toronto, ON, CA",43.6234966667,-79.47683,8.0,Red-winged Blackbird
22988,2025-06-28,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/601482705/medium.jpg,"South Riverdale, Toronto, ON, Canada",43.6247354542,-79.3254431487,50.0,Common Tern
6650,2025-04-25,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/492301711/medium.png,"Centre Island, Toronto, ON, Canada",43.6135001772,-79.3871518877,113.0,Canada Goose
1165,2025-01-30,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/467062354/medium.jpeg,"The Kingsway, Etobicoke, ON, Canada",43.647482593,-79.5116307338,980.0,Red-bellied Woodpecker
23693,2025-12-30,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/606314884/medium.jpg,"The Kingsway, Etobicoke, ON, Canada",43.6475136465,-79.5117165645,997.0,European Starling
11427,2025-06-01,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/514134189/medium.jpg,"Humber Bay, Toronto, ON, CA",43.6363947777,-79.4525982622,71.0,Laughing Gull
5333,2025-04-13,,https://static.inaturalist.org/photos/488414795/medium.jpg,"New Toronto, Etobicoke, ON, Canada",43.5927435293,-79.5110268658,8.0,Bufflehead
5314,2025-04-13,,https://static.inaturalist.org/photos/488359586/medium.jpg,"New Toronto, Etobicoke, ON, Canada",43.5924260002,-79.5133180213,8.0,Red-winged Blackbird
18934,2025-10-06,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/577399824/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,Hairy Woodpecker
22703,2025-12-09,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/599359699/medium.jpg,"Bayview Village, North York, ON, Canada",43.7801238347,-79.3729953378,513.0,Dark-eyed Junco
593,2025-01-07,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/463674943/medium.jpeg,"Colonel  Samuel Smith Park, Toronto, ON, Canada",43.5906511232,-79.5131823425,683.0,American Robin
11689,2025-05-30,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/515452598/medium.jpg,"Toronto, ON M6S 2V5, Canada",43.6491453926,-79.470519796,24.0,Wood Duck
9782,2025-05-12,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/505432353/medium.jpg,"Centre Island, Toronto, ON, Canada",43.6166000062,-79.3861319679,15.0,Baltimore Oriole
3800,2025-03-23,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/479585278/medium.jpeg,"Colonel Samuel Smith Park, 3145 Lake Shore Blvd W, Etobicoke, ON M8V 4B6, Canada",43.591398,-79.5133857,198.0,Red-necked Grebe
19756,2025-10-16,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/581116364/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,Hermit Thrush
305,2025-01-08,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/462586197/medium.jpg,"Bridle Path-Sunnybrook-York Mills, Toronto, ON, Canada",43.7302735317,-79.3571613691,418.0,White-breasted Nuthatch
3831,2025-03-21,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/479931323/medium.jpeg,"Rouge Marsh, Toronto, ON, Canada",43.793019168,-79.1213626153,100.0,Wood Duck
22635,2025-12-09,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/598835478/medium.jpg,"Toronto, ON M4T 1B4, Canada",43.6851789847,-79.3856929243,65.0,Winter Wren
1695,2025-01-28,,https://static.inaturalist.org/photos/469630679/medium.jpeg,"Toronto, ON M4M 3M9, Canada",43.6459425136,-79.3210027367,74.0,Red-tailed Hawk
